timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/08/11 07:17:32.568, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:17:37.569, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:17:42.569, Tesla V100-PCIE-16GB, 54 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:17:47.574, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:17:52.574, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:17:57.575, Tesla V100-PCIE-16GB, 60 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:18:02.576, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:18:07.578, Tesla V100-PCIE-16GB, 54 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:18:12.579, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:18:17.636, Tesla V100-PCIE-16GB, 35 %, 10 %, 642 MiB, 16384 MiB
2026/08/11 07:18:22.637, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:18:27.638, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:18:32.638, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:18:37.639, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:18:42.640, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:18:47.641, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:18:52.642, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:18:57.642, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:19:02.643, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:19:07.644, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:19:12.646, Tesla V100-PCIE-16GB, 35 %, 11 %, 642 MiB, 16384 MiB
2026/08/11 07:19:17.647, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:19:22.648, Tesla V100-PCIE-16GB, 61 %, 8 %, 642 MiB, 16384 MiB
